ANO,REGIAO,SIGLA_UF,COD_MUNICIPIO,NOME_MUNICIPIO,LOCALIZACAO,DEPEND_ADMINSTRATIVA,INFANTIL_1,INFANTIL_2,INFANTIL_3,INFANTIL_4,INFANTIL_5,FUNDAMENTAL_1,FUNDAMENTAL_2,FUNDAMENTAL_3,FUNDAMENTAL_4,FUNDAMENTAL_5,MEDIO_1,MEDIO_2,MEDIO_3,MEDIO_4,MEDIO_5,EJA_FUNDAMENTAL_1,EJA_FUNDAMENTAL_2,EJA_FUNDAMENTAL_3,EJA_FUNDAMENTAL_4,EJA_FUNDAMENTAL_5,EJA_MEDIO_1,EJA_MEDIO_2,EJA_MEDIO_3,EJA_MEDIO_4,EJA_MEDIO_5
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,--,--,--,--,--,"81,5","1,1","16,9","0,5","0,0","72,2","3,1","24,5","0,2","0,0","53,8","0,0","46,2","0,0","0,0","47,2","0,0","52,8","0,0","0,0"
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,--,--,--,--,--,"21,9","0,0","7,5","0,0","70,6","84,4","3,8","11,8","0,0","0,0",--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,"91,5","2,1","0,0","2,1","4,3","74,6","1,2","18,1","0,0","6,1",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,"100,0","0,0","0,0","0,0","0,0","52,3","0,0","47,7","0,0","0,0",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Pública,"91,5","2,1","0,0","2,1","4,3","77,3","1,2","17,6","0,2","3,7","72,2","3,1","24,5","0,2","0,0","53,8","0,0","46,2","0,0","0,0","47,2","0,0","52,8","0,0","0,0"
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,"100,0","0,0","0,0","0,0","0,0","34,3","0,0","23,9","0,0","41,8","84,4","3,8","11,8","0,0","0,0",--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100023,Ariquemes,Rural,Federal,--,--,--,--,--,--,--,--,--,--,"84,6","5,0","5,4","4,1","0,9",--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100023,Ariquemes,Urbana,Estadual,--,--,--,--,--,"68,6","3,0","24,0","3,9","0,5","67,9","1,3","25,8","5,0","0,0","52,5","0,0","32,1","15,4","0,0","55,0","0,0","37,1","7,9","0,0"
2020,Norte,RO,1100023,Ariquemes,Rural,Estadual,--,--,--,--,--,"63,0","0,0","37,0","0,0","0,0","36,6","0,0","63,4","0,0","0,0",--,--,--,--,--,--,--,--,--,--
2020,Norte,RO,1100023,Ariquemes,Urbana,Municipal,"92,2","2,2","2,2","1,1","2,3","72,6","2,6","23,1","0,2","1,5",--,--,--,--,--,"18,8","0,0","81,2","0,0","0,0",--,--,--,--,--
