ANO,REGIAO,SIGLA_UF,COD_MUNICIPIO,NOME_MUNICIPIO,LOCALIZACAO,DEPEND_ADMINISTRATIVA,INFANTIL_TOTAL,INFANTIL_CRECHE,INFANTIL_PREESCOLA,FUNDAMENTAL_TOTAL,FUNDAMENTAL_ANOS_INICIAIS,FUNDAMENTAL_ANOS_FINAIS,FUNDAMENTAL_1_ANO,FUNDAMENTAL_2_ANO,FUNDAMENTAL_3_ANO,FUNDAMENTAL_4_ANO,FUNDAMENTAL_5_ANO,FUNDAMENTAL_6_ANO,FUNDAMENTAL_7_ANO,FUNDAMENTAL_8_ANO,FUNDAMENTAL_9_ANO,FUNDAMENTAL_MULTIETAPA_OU_CORRECAO,MEDIO_TOTAL,MEDIO_1_ANO,MEDIO_2_ANO,MEDIO_3_ANO,MEDIO_4_ANO,NAO_SERIADO
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,,,,26.6,23.0,27.6,,,,,23.0,24.3,26.8,29.3,32.6,,16.6,18.2,17.1,14.4,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,,,,5.9,3.7,11.0,4.7,1.3,2.7,5.0,4.2,12.3,11.0,11.0,9.7,,7.3,7.3,7.7,6.5,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,16.4,13.5,18.1,20.1,21.5,17.6,19.9,21.8,21.5,23.4,18.0,18.0,20.5,15.0,16.2,14.0,,,,,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,13.3,,13.3,16.0,18.5,16.3,,,14.5,22.0,19.0,15.7,21.7,14.0,14.0,13.5,,,,,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Pública,16.4,13.5,18.1,22.7,21.7,24.3,19.9,21.8,21.5,23.4,21.5,22.5,24.9,24.2,25.8,14.0,16.6,18.2,17.1,14.4,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,13.3,,13.3,9.9,6.3,13.7,4.7,1.3,5.6,9.3,7.9,14.0,16.3,12.5,11.8,13.5,7.3,7.3,7.7,6.5,,
2020,Norte,RO,1100023,Ariquemes,Rural,Federal,,,,,,,,,,,,,,,,,28.6,31.9,33.1,21.3,,
2020,Norte,RO,1100023,Ariquemes,Urbana,Estadual,,,,27.5,25.7,27.5,,,24.3,26.7,25.3,24.9,28.3,27.7,28.3,36.5,25.7,28.5,25.3,22.2,,
2020,Norte,RO,1100023,Ariquemes,Rural,Estadual,,,,28.9,,28.9,,,,,,28.3,30.3,30.5,27.0,,19.7,22.3,21.0,15.7,,
2020,Norte,RO,1100023,Ariquemes,Urbana,Municipal,22.9,22.1,23.4,25.1,25.0,25.5,23.5,24.0,26.3,25.0,26.2,25.8,22.6,30.3,23.0,,,,,,,
2020,Norte,RO,1100023,Ariquemes,Rural,Municipal,14.1,11.0,14.4,19.2,18.0,22.5,14.6,17.1,18.5,19.8,19.0,21.3,26.7,22.3,19.0,6.0,,,,,,
2020,Norte,RO,1100023,Ariquemes,Urbana,Privada,20.2,20.0,20.2,20.0,19.1,21.6,20.1,20.1,18.9,16.6,19.7,21.2,24.4,22.3,17.1,,33.5,27.5,47.0,32.0,,
2020,Norte,RO,1100023,Ariquemes,Urbana,Pública,22.9,22.1,23.4,26.1,25.1,27.1,23.5,24.0,26.1,25.3,26.1,25.3,27.8,27.9,27.9,36.5,25.7,28.5,25.3,22.2,,
2020,Norte,RO,1100023,Ariquemes,Rural,Pública,14.1,11.0,14.4,20.4,18.0,24.5,14.6,17.1,18.5,19.8,19.0,23.7,27.8,24.4,21.7,6.0,26.1,29.3,29.5,19.7,,
2020,Norte,RO,1100031,Cabixi,Urbana,Estadual,,,,27.0,,27.0,,,,,,26.7,28.5,27.3,25.0,,21.1,24.3,18.7,20.0,,
2020,Norte,RO,1100031,Cabixi,Rural,Estadual,,,,15.0,,15.0,,,,,,13.5,21.5,15.0,10.0,,7.3,9.0,9.0,4.0,,
