ANO,REGIAO,SIGLA_UF,COD_MUNICIPIOS,NOME_MUNICIPIO,LOCALIZACAO,DEPEND_ADMINISTRATIVA,FUNDAMENTAL_TOTAL_NIVEL_1,FUNDAMENTAL_TOTAL_NIVEL_2,FUNDAMENTAL_TOTAL_NIVEL_3,FUNDAMENTAL_TOTAL_NIVEL_4,FUNDAMENTAL_TOTAL_NIVEL_5,FUNDAMENTAL_TOTAL_NIVEL_6,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_1,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_2,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_3,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_4,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_5,FUNDAMENTAL_ANOS_INICIAIS_NIVEL_6,FUNDAMENTAL_ANOS_FINAIS_NIVEL_1,FUNDAMENTAL_ANOS_FINAIS_NIVEL_2,FUNDAMENTAL_ANOS_FINAIS_NIVEL_3,FUNDAMENTAL_ANOS_FINAIS_NIVEL_4,FUNDAMENTAL_ANOS_FINAIS_NIVEL_5,FUNDAMENTAL_ANOS_FINAIS_NIVEL_6,MEDIO_NIVEL_1,MEDIO_NIVEL_2,MEDIO_NIVEL_3,MEDIO_NIVEL_4,MEDIO_NIVEL_5,MEDIO_NIVEL_6
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,15.1,1.5,36.4,22.7,18.2,6.1,66.6,6.7,6.7,6.7,13.3,0.0,0.0,0.0,43.6,27.3,21.8,7.3,0.0,2.8,21.1,18.3,46.5,11.3
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,52.0,0.0,20.0,28.0,0.0,0.0,86.6,0.0,6.7,6.7,0.0,0.0,0.0,0.0,36.4,63.6,0.0,0.0,0.0,0.0,3.4,6.9,75.9,13.8
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,55.1,13.5,5.6,20.2,3.4,2.2,80.3,12.5,3.6,3.6,0.0,0.0,11.4,14.3,8.6,51.4,8.6,5.7,,,,,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,35.0,10.0,7.5,35.0,10.0,2.5,100.0,0.0,0.0,0.0,0.0,0.0,23.5,11.8,8.8,41.2,11.8,2.9,,,,,,
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Pública,38.7,8.6,19.1,21.7,8.6,3.3,77.5,11.3,4.2,4.2,2.8,0.0,4.8,5.7,31.0,37.9,14.9,5.7,0.0,2.8,21.1,18.3,46.5,11.3
2020,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Pública,41.5,6.2,12.3,32.3,6.2,1.5,90.4,0.0,4.8,4.8,0.0,0.0,17.7,8.9,15.6,46.7,8.9,2.2,0.0,0.0,3.4,6.9,75.9,13.8
2020,Norte,RO,1100023,Ariquemes,Rural,Federal,,,,,,,,,,,,,,,,,,,0.0,46.0,49.2,4.8,0.0,0.0
2020,Norte,RO,1100023,Ariquemes,Urbana,Estadual,6.9,4.7,30.0,42.1,14.2,2.1,50.1,30.8,3.8,11.5,0.0,3.8,0.0,0.6,33.3,47.6,16.1,2.4,0.0,2.3,30.2,38.5,24.0,5.0
2020,Norte,RO,1100023,Ariquemes,Rural,Estadual,0.0,0.0,15.4,61.5,23.1,0.0,,,,,,,0.0,0.0,15.4,61.5,23.1,0.0,7.7,0.0,0.0,69.2,23.1,0.0
2020,Norte,RO,1100023,Ariquemes,Urbana,Municipal,31.2,31.1,21.7,10.7,4.1,1.2,36.0,34.1,18.5,10.4,0.5,0.5,0.0,7.4,35.2,35.2,18.5,3.7,,,,,,
