ano,regiao,uf,cod_municipio,nome_municipio,localizacao,depend_administrativa,percent_infantil_grupo1,percent_infantil_grupo2,percent_infantil_grupo3,percent_infantil_grupo4,percent_infantil_grupo5,percent_fundamental_grupo1,percent_fundamental_grupo2,percent_fundamental_grupo3,percent_fundamental_grupo4,percent_fundamental_grupo5,percent_medio_grupo1,percent_medio_grupo2,percent_medio_grupo3,percent_medio_grupo4,percent_medio_grupo5,percent_eja_fundamental_grupo1,percent_eja_fundamental_grupo2,percent_eja_fundamental_grupo3,percent_eja_fundamental_grupo4,percent_eja_fundamental_grupo5,percent_eja_medio_grupo1,percent_eja_medio_grupo2,percent_eja_medio_grupo3,percent_eja_medio_grupo4,percent_eja_medio_grupo5
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Estadual,,,,,,66.5,0.8,32.7,0.0,0.0,76.7,2.9,20.4,0.0,0.0,49.2,0.0,50.8,0.0,0.0,58.3,0.0,41.7,0.0,0.0
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Estadual,,,,,,20.8,0.0,7.1,0.0,72.1,93.6,3.7,2.7,0.0,0.0,,,,,,,,,,
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Municipal,90.7,2.3,2.3,2.3,2.4,68.0,3.9,21.0,2.3,4.8,,,,,,,,,,,,,,,
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Municipal,100.0,0.0,0.0,0.0,0.0,48.4,1.9,47.4,2.3,0.0,,,,,,,,,,,,,,,
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Privada,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Urbana,Publica,90.7,2.3,2.3,2.3,2.4,67.4,2.8,25.3,1.4,3.1,76.7,2.9,20.4,0.0,0.0,49.2,0.0,50.8,0.0,0.0,58.3,0.0,41.7,0.0,0.0
2021,Norte,RO,1100015,Alta Floresta D'Oeste,Rural,Publica,100.0,0.0,0.0,0.0,0.0,31.5,0.7,22.7,0.9,44.2,93.6,3.7,2.7,0.0,0.0,,,,,,,,,,
2021,Norte,RO,1100023,Ariquemes,Rural,Federal,,,,,,,,,,,69.5,4.5,0.0,13.0,13.0,,,,,,,,,,
2021,Norte,RO,1100023,Ariquemes,Urbana,Estadual,,,,,,67.3,1.8,28.7,2.2,0.0,72.6,1.0,23.0,3.4,0.0,53.4,0.0,34.2,12.4,0.0,55.0,0.0,42.6,2.4,0.0
2021,Norte,RO,1100023,Ariquemes,Rural,Estadual,,,,,,61.5,0.0,38.5,0.0,0.0,45.6,0.0,54.4,0.0,0.0,,,,,,,,,,
