ano,regiao,uf,nome_municipio,localizacao,depend_administrativa,percent_fundamental_nivel1,percent_fundamental_nivel2,percent_fundamental_nivel3,percent_fundamental_nivel4,percent_fundamental_nivel5,percent_fundamental_nivel6,percent_medio_nivel1,percent_medio_nivel2,percent_medio_nivel3,percent_medio_nivel4,percent_medio_nivel5,percent_medio_nivel6
2021,Norte,RO,Alta Floresta D'Oeste,Urbana,Estadual,3.7,1.9,33.3,46.3,11.1,3.7,0.0,4.3,10.0,64.3,14.3,7.1
2021,Norte,RO,Alta Floresta D'Oeste,Rural,Estadual,58.3,0.0,12.5,29.2,0.0,0.0,0.0,0.0,0.0,78.6,14.3,7.1
2021,Norte,RO,Alta Floresta D'Oeste,Urbana,Municipal,59.2,7.5,7.5,20.4,3.2,2.2,,,,,,
2021,Norte,RO,Alta Floresta D'Oeste,Rural,Municipal,33.3,10.3,5.1,35.9,12.8,2.6,,,,,,
2021,Norte,RO,Alta Floresta D'Oeste,Urbana,Publica,39.4,5.6,17.4,30.6,4.9,2.1,0.0,4.3,10.0,64.3,14.3,7.1
2021,Norte,RO,Alta Floresta D'Oeste,Rural,Publica,43.0,6.3,7.9,33.3,7.9,1.6,0.0,0.0,0.0,78.6,14.3,7.1
2021,Norte,RO,Ariquemes,Rural,Federal,,,,,,,0.0,55.3,38.5,3.1,3.1,0.0
2021,Norte,RO,Ariquemes,Urbana,Estadual,9.1,1.6,26.7,46.5,13.4,2.7,0.0,2.6,27.7,53.4,12.6,3.7
2021,Norte,RO,Ariquemes,Rural,Estadual,0.0,0.0,33.3,41.7,25.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0
2021,Norte,RO,Ariquemes,Urbana,Municipal,36.1,27.8,22.4,10.0,3.3,0.4,,,,,,
2021,Norte,RO,Ariquemes,Rural,Municipal,33.3,12.5,16.7,33.3,4.2,0.0,,,,,,
2021,Norte,RO,Ariquemes,Urbana,Privada,8.7,15.4,41.8,30.8,1.1,2.2,0.0,23.0,38.5,30.8,7.7,0.0
2021,Norte,RO,Ariquemes,Urbana,Publica,24.6,16.6,24.4,26.3,6.9,1.2,0.0,2.6,27.7,53.4,12.6,3.7
2021,Norte,RO,Ariquemes,Rural,Publica,28.7,10.7,19.0,34.5,7.1,0.0,0.0,48.0,33.3,12.0,6.7,0.0
2021,Norte,RO,Cabixi,Urbana,Estadual,0.0,0.0,24.9,56.3,6.3,12.5,0.0,0.0,0.0,57.1,28.6,14.3
2021,Norte,RO,Cabixi,Rural,Estadual,0.0,0.0,0.0,90.0,0.0,10.0,14.3,0.0,14.3,71.4,0.0,0.0
2021,Norte,RO,Cabixi,Urbana,Municipal,92.8,0.0,3.6,0.0,0.0,3.6,,,,,,
2021,Norte,RO,Cabixi,Urbana,Publica,60.5,0.0,11.6,20.9,2.3,4.7,0.0,0.0,0.0,57.1,28.6,14.3
