Fornecedor;idproduto;Nome do produto;Tipo de produto;Código de barras;Código interno;Agrupador;Imagem;Disponível;Url
Armazem Santa Maria;8109334b-5130-469f-882f-4995a67d0822;CAFE C LEITE MARATA DESCAF 200G;Simples;10009543;10009543|16094;16094;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/8109334b-5130-469f-882f-4995a67d0822+223b66c8-c4cc-422f-be4a-e72156a4a8ba
Armazem Santa Maria;5a3bd3d5-da9a-4953-8331-68636bbc0934;CANETA BIC CRISTAL AZUL;Simples;;1062|1062;1062;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/5a3bd3d5-da9a-4953-8331-68636bbc0934+325089be-b60a-4f74-a93f-8a4dcd1c42a7
Armazem Santa Maria;60e047d9-6a66-4f5d-8338-6ab7a691d456;CANETA BIC CRISTAL PRETA;Simples;;1063|1063;1063;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/60e047d9-6a66-4f5d-8338-6ab7a691d456+98ab30b0-77dd-4daf-b1a8-eaec64610f6b
Armazem Santa Maria;59c1d056-21a2-4a7f-9d85-a21016e5acbc;CANETA BIC CRISTAL VERMELHA;Simples;;1064|1064;1064;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/59c1d056-21a2-4a7f-9d85-a21016e5acbc+d22b6718-d37e-4e2d-b011-7365b52f8820
Armazem Santa Maria;cebddfc6-ba8c-4d6b-b8ce-c99b55b06fd1;BOLO POTE;Simples;;11081|33977;33977;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/cebddfc6-ba8c-4d6b-b8ce-c99b55b06fd1+caaac230-1dbc-4f5b-b952-12a25e6eba46
Armazem Santa Maria;5c246c0a-cbf0-465e-a285-cbb94bca02da;ENERGETICO RED BULL ENERGY 250ML;Simples;;11269991000|3851;3851;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/5c246c0a-cbf0-465e-a285-cbb94bca02da+382e9e24-2644-4f3b-b728-247cb8ed87e0
Armazem Santa Maria;62cba90c-9f52-46bd-bec9-4597baad0a27;QUEIJO MUSSARELA CRIS KG;Simples;;11372|19458;19458;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/62cba90c-9f52-46bd-bec9-4597baad0a27+aedb4de4-a23d-482b-9f80-0c1f2daf559b
Armazem Santa Maria;3b908b01-0634-40f8-92c5-fb0f6a6d7b74;UVA BLACK KG;Simples;;11396|22424;22424;Não;Não;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/3b908b01-0634-40f8-92c5-fb0f6a6d7b74+51a75263-0471-4485-9906-8a67c1694177
Armazem Santa Maria;fe16e5e4-c67a-476b-a3cc-ef1d45db8933;GALINHA CAIPIRA NOROESTE KG;Simples;700371783600;11655|18117;18117;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/fe16e5e4-c67a-476b-a3cc-ef1d45db8933+a8c2a077-d333-4383-9cf2-86150926138b
Armazem Santa Maria;3b95255e-0f3f-4a8a-a560-561d8af84a8e;CHICLE BIG BIG MORANGO 350G;Simples;;1199|1199;1199;Não;Sim;/commerce/fc4bfbb5-f9ea-4066-acbb-7ae92fbc207a/produto/3b95255e-0f3f-4a8a-a560-561d8af84a8e+7e43d905-153a-4e64-9af4-aa3ea151d41e
