id,n_patrim,filial,memo_ram,fab_process,process_ghz,ano_fab,so_windows,produtiv,tipo_ram,temp_cpu,core_process,tipo_rom,memo_rom,rom_Mbps,qt_usb,usb_ok,tempo_inicial_seg,suporte_mes,fora_de_operacao
1,206,2,4,amd,3.1,2014,10,462,ddr3,25,2,hd,80,76.5,6,6,601,3,n
2,401,4,4,oem,1.4,2014,7,ddr3,50,1,hd,500,102,7,3,120,4,s
3,151,1,4,amd,2.8,2008,7,ddr3,48,2,hd,500,110,6,6,150,2,s
4,140,2,4,intel,2.5,2010,10,375,ddr3,45,2,hd,500,158.5,6,6,130,1,n
5,301,3,4,amd,1.4,2016,7,379,ddr3,10,2,hd,500,90.5,6,6,60,4,n
6,610,6,4,amd,1.4,2016,7,301,ddr3,42,2,hd,500,92.9,8,8,82,0,n
7,620,6,4,amd,1.4,2016,7,315,ddr3,38,2,hd,500,101.1,8,8,68,0,n
8,670,6,6,amd,1.4,2016,7,299,ddr3,39,2,hd,500,120.3,8,8,76,0,n
9,561,6,6,amd,2.8,2012,7,ddr3,49,1,hd,120,95.6,6,4,94,3,s
10,650,6,4,intel,3.9,2017,7,624,ddr3,41,2,hd,1000,162.3,6,6,58,0,n
11,640,6,4,amd,1.4,2016,7,351,ddr3,55,2,hd,500,113,8,8,69,0,n
12,660,6,4,amd,1.4,2016,7,367,ddr3,37,2,hd,500,123,8,8,73,0,n
13,510,5,2,intel,1.8,2011,7,203,ddr3,62,2,hd,320,89.2,6,6,74,1,n
14,701,5,8,amd,1.4,2012,7,405,ddr3,45,2,hd,500,142,6,6,61,6,n
15,702,5,2,intel,1.8,2011,7,301,ddr3,43,2,hd,320,93.1,6,6,65,2,n
16,540,5,2,intel,1.8,2011,5,301,ddr3,37,2,hd,320,92.9,6,6,73,1,n
17,630,4,6,amd,1.4,2016,7,305,ddr3,23,2,hd,500,82.5,6,4,85,5,n
18,410,4,4,intel,3.9,2018,7,506,ddr3,32,2,hd,1000,132,6,6,58,2,n
19,367,4,8,amd,1.4,2016,7,310,ddr3,23,2,hd,500,87.9,8,8,74,0,n
20,440,4,4,intel,1.8,2010,7,285,ddr3,28,1,hd,500,85.3,6,4,83,5,n
21,703,4,8,amd,1.0,2012,7,296,ddr3,26,2,hd,500,91.3,6,6,69,0,n
22,420,4,4,intel,2.4,2014,7,328,ddr3,23,2,hd,150,105.6,6,4,64,1,n
23,704,3,6,intel,2.4,2014,7,401,ddr3,26,2,hd,320,89.3,6,5,54,0,n
24,351,3,6,intel,1.1,2013,7,261,ddr3,24,2,hd,1000,111.3,6,6,55,0,n
25,340,3,4,intel,1.8,2011,7,291,ddr3,27,1,hd,500,86.7,6,6,71,0,n
26,548,5,2,intel,1.8,2011,7,0,ddr3,43,2,hd,320,93.1,6,6,125,2,n


